               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1346,            0.021187,            0.056386,          0.00011093,           0.0086957,          6.2257e-05,          1.8677e-05,             0.13046,             0.01671,             0.05777,              0.0964,              0.0004,              0.0004
                   1,             0.13172,            0.020319,            0.054557,          0.00019165,            0.037193,          0.00015061,          5.4641e-05,             0.12262,            0.016584,            0.054703,            0.091898,          0.00089822,          0.00089822
                   2,             0.12327,            0.020313,             0.05241,          0.00050409,            0.054778,          0.00029897,          5.5394e-05,             0.11229,            0.017023,            0.051529,            0.087394,           0.0013945,           0.0013945
                   3,             0.11618,             0.02155,            0.049597,          0.00083514,            0.091782,          0.00052784,          0.00017846,             0.10353,            0.016146,            0.049988,            0.082889,           0.0018887,           0.0018887
                   4,              0.1041,             0.02218,            0.048414,           0.0023895,             0.27815,           0.0024648,          0.00056403,            0.094012,            0.016533,            0.048828,            0.078381,            0.002381,            0.002381
                   5,            0.096553,             0.02381,            0.047764,           0.0044677,             0.45602,            0.015169,           0.0038396,            0.086639,            0.017445,            0.047905,            0.073871,           0.0028713,           0.0028713
                   6,            0.087842,            0.025742,            0.047105,            0.015525,             0.59775,            0.065751,            0.022523,            0.076964,            0.017951,              0.0476,             0.06936,           0.0033596,           0.0033596
                   7,            0.081391,            0.027633,             0.04636,             0.11974,             0.21429,             0.12049,            0.050025,             0.08801,            0.016132,            0.047523,            0.064846,           0.0038459,           0.0038459
                   8,            0.076317,             0.02445,            0.046269,            0.083231,             0.24783,              0.1101,            0.044377,            0.072701,            0.019382,            0.046867,             0.06033,           0.0043303,           0.0043303
                   9,            0.073118,            0.023963,            0.045663,             0.14667,             0.25246,             0.16528,             0.05919,            0.075132,            0.016768,            0.046089,            0.055813,           0.0048127,           0.0048127
                  10,            0.071197,             0.02401,            0.045271,              0.1348,              0.3131,             0.14926,            0.037716,            0.071304,            0.016078,             0.04615,            0.051293,           0.0052931,           0.0052931
                  11,             0.06757,            0.023351,            0.045331,              0.1123,             0.37835,             0.15238,            0.061137,            0.077153,            0.013384,            0.045486,            0.046771,           0.0057715,           0.0057715
                  12,            0.067476,            0.021454,            0.044723,               0.108,             0.24801,             0.12349,            0.045089,              0.0772,            0.012749,            0.044983,            0.042248,           0.0062479,           0.0062479
                  13,            0.070607,            0.021866,            0.044616,              0.1604,             0.30782,             0.18783,            0.055817,            0.060161,            0.014602,            0.044022,            0.037722,           0.0067224,           0.0067224
                  14,            0.067846,            0.022965,            0.044397,             0.18294,             0.43641,             0.27053,            0.096778,             0.05967,            0.014138,            0.043884,            0.033195,           0.0071949,           0.0071949
                  15,            0.069348,            0.019952,            0.043537,            0.095496,             0.32685,             0.14156,            0.056271,            0.076235,            0.012048,            0.043297,            0.028665,           0.0076654,           0.0076654
                  16,            0.072433,            0.019633,            0.042788,             0.18507,             0.20544,             0.16307,            0.044065,            0.079406,            0.011247,            0.042984,            0.024134,           0.0081339,           0.0081339
                  17,            0.070025,            0.018823,            0.043003,            0.087792,             0.29893,             0.11867,            0.037603,            0.074293,            0.011501,            0.042839,              0.0196,           0.0086004,           0.0086004
                  18,            0.068318,            0.017847,              0.0426,             0.15998,             0.29082,             0.20024,            0.061787,            0.073269,            0.011695,               0.042,            0.015065,            0.009065,            0.009065
                  19,            0.065389,             0.01865,            0.041868,              0.5185,             0.24768,             0.28096,             0.13038,            0.067523,            0.012259,            0.041283,            0.010528,           0.0095276,           0.0095276
                  20,            0.066015,            0.018488,            0.041643,             0.39996,             0.21655,             0.24318,            0.096174,            0.070186,            0.013061,            0.040802,            0.009604,            0.009604,            0.009604
                  21,            0.064362,            0.018176,            0.041046,             0.18718,             0.40528,             0.21358,            0.075571,            0.064265,            0.012546,            0.039894,            0.009604,            0.009604,            0.009604
                  22,            0.062646,            0.018278,            0.039759,             0.18684,             0.37816,             0.18537,            0.058914,            0.064899,             0.01245,            0.039848,           0.0095842,           0.0095842,           0.0095842
                  23,            0.060927,            0.018166,            0.039176,             0.27901,             0.40221,             0.25907,            0.091638,            0.066804,            0.012571,            0.038559,           0.0095644,           0.0095644,           0.0095644
                  24,            0.059223,            0.017223,            0.038771,             0.33075,             0.33622,             0.26587,             0.10336,             0.06019,            0.014006,             0.03772,           0.0095446,           0.0095446,           0.0095446
                  25,            0.057097,            0.015552,            0.037644,             0.45177,             0.33091,             0.40916,             0.11469,            0.065383,            0.014667,            0.036667,           0.0095248,           0.0095248,           0.0095248
                  26,             0.05764,             0.01623,            0.037495,             0.40719,             0.37052,             0.40237,             0.14845,            0.062715,            0.014304,            0.036186,            0.009505,            0.009505,            0.009505
                  27,            0.056679,            0.016266,            0.036479,             0.41301,             0.38282,             0.37365,             0.16648,            0.061501,            0.014559,            0.035912,           0.0094852,           0.0094852,           0.0094852
                  28,            0.056226,            0.016459,            0.036054,             0.28068,             0.31458,              0.2906,             0.11195,            0.061732,            0.013782,            0.035446,           0.0094654,           0.0094654,           0.0094654
                  29,            0.056308,            0.016736,              0.0354,             0.44998,             0.40415,             0.45429,             0.16328,            0.047711,            0.011828,            0.034389,           0.0094456,           0.0094456,           0.0094456
                  30,            0.052274,            0.015681,            0.035161,             0.50009,             0.52349,             0.52655,             0.23158,             0.04729,            0.011392,            0.033604,           0.0094258,           0.0094258,           0.0094258
                  31,            0.053086,            0.016102,            0.034343,             0.41995,             0.50898,             0.50126,             0.19483,            0.054982,            0.011501,            0.032417,            0.009406,            0.009406,            0.009406
                  32,            0.051154,            0.015373,            0.033787,             0.45847,             0.53009,             0.52973,             0.23287,            0.048046,            0.010881,            0.032017,           0.0093862,           0.0093862,           0.0093862
                  33,             0.04732,             0.01511,            0.033556,             0.42901,             0.64038,             0.54016,             0.23387,            0.053546,            0.010605,            0.031017,           0.0093664,           0.0093664,           0.0093664
                  34,            0.050159,            0.015253,            0.032711,             0.44776,             0.72814,             0.57917,             0.24706,            0.051683,            0.011005,            0.030228,           0.0093466,           0.0093466,           0.0093466
                  35,            0.049297,            0.014693,            0.032123,             0.54092,              0.6364,             0.57835,              0.2653,            0.049108,            0.010028,            0.029583,           0.0093268,           0.0093268,           0.0093268
                  36,            0.050036,            0.014825,            0.030618,             0.43633,             0.62876,             0.52812,             0.22245,            0.047541,             0.01026,            0.029327,            0.009307,            0.009307,            0.009307
                  37,            0.048877,            0.015007,            0.030984,              0.5231,             0.63862,             0.58215,             0.18939,            0.049282,           0.0099523,            0.028702,           0.0092872,           0.0092872,           0.0092872
                  38,            0.048013,            0.014644,            0.029788,             0.46273,             0.61253,             0.49406,             0.15546,            0.048233,           0.0097557,            0.028214,           0.0092674,           0.0092674,           0.0092674
                  39,            0.045859,            0.014289,            0.030061,              0.4237,             0.65474,             0.49375,             0.20043,            0.050032,            0.010046,             0.02771,           0.0092476,           0.0092476,           0.0092476
                  40,            0.048936,             0.01342,            0.029388,             0.56029,             0.71361,             0.62043,             0.24221,            0.049376,           0.0097831,            0.027355,           0.0092278,           0.0092278,           0.0092278
                  41,            0.050054,            0.014724,            0.028472,             0.49697,             0.69923,             0.55671,             0.20276,            0.047891,           0.0097895,            0.026169,            0.009208,            0.009208,            0.009208
                  42,            0.047536,            0.014116,            0.027767,             0.48307,             0.70011,             0.60996,             0.22122,            0.045576,           0.0097025,            0.025646,           0.0091882,           0.0091882,           0.0091882
                  43,            0.044766,            0.013404,            0.027774,             0.42081,             0.74001,             0.55688,             0.22797,            0.042038,           0.0096493,            0.025101,           0.0091684,           0.0091684,           0.0091684
                  44,            0.045565,            0.013327,            0.026115,               0.513,             0.71976,             0.67308,             0.31057,            0.042426,           0.0096977,            0.024834,           0.0091486,           0.0091486,           0.0091486
                  45,            0.042863,            0.013269,            0.025518,             0.68528,             0.73911,             0.74357,             0.31156,            0.039523,           0.0091932,            0.023861,           0.0091288,           0.0091288,           0.0091288
                  46,            0.045055,            0.013804,            0.024008,             0.55892,             0.83206,             0.67334,             0.30621,            0.041738,           0.0089579,            0.023472,            0.009109,            0.009109,            0.009109
                  47,            0.044079,            0.013176,            0.023656,             0.50967,             0.81073,             0.65985,              0.2985,            0.041502,           0.0089128,            0.022549,           0.0090892,           0.0090892,           0.0090892
                  48,            0.042723,            0.013548,            0.023147,             0.49668,             0.81534,             0.67112,             0.31505,            0.040191,           0.0089289,            0.021893,           0.0090694,           0.0090694,           0.0090694
                  49,            0.044553,            0.012975,            0.023008,             0.66668,             0.87491,              0.7752,             0.36665,            0.040585,           0.0083503,            0.020893,           0.0090496,           0.0090496,           0.0090496
                  50,            0.046168,            0.013959,            0.022843,             0.58128,             0.77563,             0.70699,             0.36856,            0.038046,           0.0084631,            0.020447,           0.0090298,           0.0090298,           0.0090298
                  51,            0.045474,            0.014438,             0.02115,             0.60873,             0.83809,             0.70854,             0.35302,            0.040967,           0.0085082,            0.019726,             0.00901,             0.00901,             0.00901
                  52,            0.044596,            0.011939,             0.01942,             0.45791,             0.70219,             0.57973,             0.26499,            0.044306,           0.0085034,            0.019402,           0.0089902,           0.0089902,           0.0089902
                  53,            0.046043,            0.012924,            0.021567,             0.71425,              0.8659,             0.79301,             0.39634,            0.040138,           0.0082165,            0.018791,           0.0089704,           0.0089704,           0.0089704
                  54,            0.043442,              0.0135,             0.02086,             0.65403,             0.79037,             0.70636,             0.30896,            0.042188,           0.0083825,            0.018436,           0.0089506,           0.0089506,           0.0089506
                  55,             0.03865,            0.013705,            0.019611,              0.5116,             0.77014,             0.66685,              0.3296,            0.042439,           0.0084889,            0.018234,           0.0089308,           0.0089308,           0.0089308
                  56,            0.043843,            0.012114,             0.01869,             0.60396,             0.81354,             0.72743,             0.38014,            0.037724,           0.0084018,            0.018265,            0.008911,            0.008911,            0.008911
                  57,            0.044335,            0.011885,            0.019217,             0.67002,             0.88687,              0.7535,             0.37136,            0.039283,           0.0081504,            0.017654,           0.0088912,           0.0088912,           0.0088912
                  58,            0.042452,            0.012091,            0.019214,             0.66341,             0.85144,             0.73809,             0.38547,            0.040715,           0.0081311,            0.017292,           0.0088714,           0.0088714,           0.0088714
                  59,             0.04161,            0.011732,             0.01945,             0.60225,             0.92269,             0.74072,             0.36837,             0.03815,           0.0085002,            0.016819,           0.0088516,           0.0088516,           0.0088516
                  60,            0.042366,            0.011627,            0.017773,             0.62555,             0.91498,             0.76485,             0.40888,            0.037174,           0.0084341,            0.016685,           0.0088318,           0.0088318,           0.0088318
                  61,            0.042119,            0.012127,            0.018446,             0.60815,             0.84233,             0.73513,              0.3776,            0.038339,            0.008231,            0.016335,            0.008812,            0.008812,            0.008812
                  62,            0.039991,            0.011654,             0.01708,             0.69963,             0.89019,             0.82134,             0.43095,            0.038641,           0.0079393,            0.016064,           0.0087922,           0.0087922,           0.0087922
                  63,             0.04174,            0.012434,            0.017213,             0.65125,             0.89247,             0.79533,             0.42713,             0.03888,           0.0080021,            0.015808,           0.0087724,           0.0087724,           0.0087724
                  64,            0.040895,            0.011992,            0.017088,             0.61829,             0.90286,             0.75214,             0.37197,            0.038167,           0.0079973,            0.015804,           0.0087526,           0.0087526,           0.0087526
                  65,            0.040229,            0.012845,             0.01723,             0.70182,             0.94553,             0.81083,             0.42741,            0.033379,           0.0079941,            0.015659,           0.0087328,           0.0087328,           0.0087328
                  66,            0.037954,            0.012598,            0.016511,              0.7249,             0.89096,             0.80822,             0.44614,            0.034191,           0.0079103,             0.01543,            0.008713,            0.008713,            0.008713
                  67,            0.039758,            0.013224,            0.015713,             0.66869,             0.87398,             0.77016,             0.40723,            0.034871,           0.0079312,            0.015373,           0.0086932,           0.0086932,           0.0086932
                  68,            0.040294,            0.011896,            0.016639,              0.7108,             0.86501,             0.82327,             0.43636,            0.035489,           0.0078281,            0.015472,           0.0086734,           0.0086734,           0.0086734
